Use existing (1) or new (0)Input sizes: Input number of particles (for first two species, of three): a to add k point, r to add all k points in a radius, f to finish :Input radius:a to add k point, r to add all k points in a radius, f to finish :constraints are:
0 	1
1 	0
Input random seed:Choose cooling schedule (z : keep T=0, t : Thermodynamic, e : Exponential)Input Cooling speed, intial temperature, stopping temperature, and T=0 number of sweepsTime=0	 Trials=100	 Acceptances=100 	T=100 	E=0.657603
Time=2	 Trials=5600100	 Acceptances=4725561 	T=0.0574662 	E=0.272077
Time=2	 Trials=5650100	 Acceptances=4752162 	T=0.0559866 	E=0.259328
Time=2	 Trials=5700100	 Acceptances=4778520 	T=0.0538696 	E=0.159983
Time=2	 Trials=5750100	 Acceptances=4804400 	T=0.0525747 	E=0.143152
Time=2	 Trials=5800100	 Acceptances=4830142 	T=0.0511514 	E=0.240798
Time=2	 Trials=5850100	 Acceptances=4855322 	T=0.0496915 	E=0.168588
Time=2	 Trials=5900100	 Acceptances=4880101 	T=0.048336 	E=0.165107
Time=2	 Trials=5950100	 Acceptances=4904713 	T=0.0470963 	E=0.153293
Time=2	 Trials=6000100	 Acceptances=4928799 	T=0.0460652 	E=0.250448
Time=2	 Trials=6050100	 Acceptances=4952962 	T=0.0448759 	E=0.329928
Time=2	 Trials=6100100	 Acceptances=4976563 	T=0.0437865 	E=0.111022
Time=2	 Trials=6150100	 Acceptances=5000017 	T=0.0426433 	E=0.0852513
Time=2	 Trials=6200100	 Acceptances=5023246 	T=0.0416353 	E=0.174097
Time=2	 Trials=6250100	 Acceptances=5045957 	T=0.0406917 	E=0.188966
Time=2	 Trials=6300100	 Acceptances=5068546 	T=0.0397043 	E=0.191046
Time=2	 Trials=6350100	 Acceptances=5090797 	T=0.0388066 	E=0.0540804
Time=2	 Trials=6400100	 Acceptances=5112574 	T=0.0379128 	E=0.102216
Time=2	 Trials=6450100	 Acceptances=5133999 	T=0.0369451 	E=0.202352
Time=2	 Trials=6500100	 Acceptances=5154952 	T=0.0360357 	E=0.194204
Time=2	 Trials=6550100	 Acceptances=5175964 	T=0.0351279 	E=0.0374471
Time=2	 Trials=6600100	 Acceptances=5196789 	T=0.0343215 	E=0.227144
Time=2	 Trials=6650100	 Acceptances=5217286 	T=0.0334806 	E=0.129335
Time=2	 Trials=6700100	 Acceptances=5237401 	T=0.0326196 	E=0.0974586
Time=2	 Trials=6750100	 Acceptances=5257131 	T=0.0319245 	E=0.0396661
Time=2	 Trials=6800100	 Acceptances=5276590 	T=0.0311019 	E=0.212572
Time=2	 Trials=6850100	 Acceptances=5295780 	T=0.0303555 	E=0.0640668
Time=2	 Trials=6900100	 Acceptances=5314720 	T=0.0296328 	E=0.151232
Time=2	 Trials=6950100	 Acceptances=5333316 	T=0.0289384 	E=0.0955846
Time=2	 Trials=7000100	 Acceptances=5351487 	T=0.0281989 	E=0.127003
Time=2	 Trials=7050100	 Acceptances=5369433 	T=0.0274819 	E=0.127864
Time=2	 Trials=7100100	 Acceptances=5387077 	T=0.0268291 	E=0.0741134
Time=2	 Trials=7150100	 Acceptances=5404516 	T=0.0261952 	E=0.138424
Time=2	 Trials=7200100	 Acceptances=5421404 	T=0.0255558 	E=0.146681
Time=2	 Trials=7250100	 Acceptances=5437982 	T=0.024957 	E=0.0828506
Time=2	 Trials=7300100	 Acceptances=5454225 	T=0.0243835 	E=0.0542485
Time=2	 Trials=7350100	 Acceptances=5470544 	T=0.0238613 	E=0.0716489
Time=2	 Trials=7400100	 Acceptances=5486616 	T=0.0232916 	E=0.0908754
Time=2	 Trials=7450100	 Acceptances=5502529 	T=0.0227249 	E=0.0266298
Time=2	 Trials=7500100	 Acceptances=5517993 	T=0.0222102 	E=0.163398
Time=2	 Trials=7550100	 Acceptances=5533182 	T=0.0216828 	E=0.0360345
Time=2	 Trials=7600100	 Acceptances=5547923 	T=0.0212022 	E=0.0300349
Time=2	 Trials=7650100	 Acceptances=5562614 	T=0.0206998 	E=0.0934205
Time=2	 Trials=7700100	 Acceptances=5576836 	T=0.0201837 	E=0.0376599
Time=2	 Trials=7750100	 Acceptances=5590932 	T=0.0197865 	E=0.0316358
Time=2	 Trials=7800100	 Acceptances=5604746 	T=0.0193678 	E=0.0694591
Time=2	 Trials=7850100	 Acceptances=5618163 	T=0.0189141 	E=0.0590024
Time=2	 Trials=7900100	 Acceptances=5631536 	T=0.018469 	E=0.0161046
Time=2	 Trials=7950100	 Acceptances=5644617 	T=0.0181038 	E=0.0403629
Time=2	 Trials=8000100	 Acceptances=5657476 	T=0.0176847 	E=0.0543838
Time=2	 Trials=8050100	 Acceptances=5669909 	T=0.0172887 	E=0.0695276
Time=2	 Trials=8100100	 Acceptances=5682151 	T=0.0169129 	E=0.0408176
Time=2	 Trials=8150100	 Acceptances=5694208 	T=0.0165033 	E=0.0488717
Time=2	 Trials=8200100	 Acceptances=5706089 	T=0.0161744 	E=0.0842441
Time=2	 Trials=8250100	 Acceptances=5717616 	T=0.0158177 	E=0.0291355
Time=2	 Trials=8300100	 Acceptances=5728927 	T=0.0154384 	E=0.03258
Time=2	 Trials=8350100	 Acceptances=5740148 	T=0.0151011 	E=0.0362664
Time=2	 Trials=8400100	 Acceptances=5751127 	T=0.0147222 	E=0.0555287
Time=2	 Trials=8450100	 Acceptances=5762034 	T=0.0144382 	E=0.102087
Time=2	 Trials=8500100	 Acceptances=5772450 	T=0.0141398 	E=0.0824351
Time=2	 Trials=8550100	 Acceptances=5782810 	T=0.013834 	E=0.0243268
Time=2	 Trials=8600100	 Acceptances=5792785 	T=0.0134418 	E=0.030687
Time=2	 Trials=8650100	 Acceptances=5802594 	T=0.0131381 	E=0.0442072
Time=2	 Trials=8700100	 Acceptances=5812245 	T=0.0127974 	E=0.0264325
Time=2	 Trials=8750100	 Acceptances=5821490 	T=0.0124874 	E=0.0135697
Time=2	 Trials=8800100	 Acceptances=5830495 	T=0.0122245 	E=0.0456109
Time=2	 Trials=8850100	 Acceptances=5839261 	T=0.011935 	E=0.0616213
Time=2	 Trials=8900100	 Acceptances=5847937 	T=0.0116784 	E=0.0546192
Time=2	 Trials=8950100	 Acceptances=5856370 	T=0.0114239 	E=0.0378572
Time=2	 Trials=9000100	 Acceptances=5864585 	T=0.0111522 	E=0.00979926
Time=2	 Trials=9050100	 Acceptances=5872547 	T=0.0108991 	E=0.0204431
Time=2	 Trials=9100100	 Acceptances=5880083 	T=0.0106555 	E=0.0438156
Time=2	 Trials=9150100	 Acceptances=5887566 	T=0.0104378 	E=0.0233141
Time=2	 Trials=9200100	 Acceptances=5895039 	T=0.0101675 	E=0.044904
Time=2	 Trials=9250100	 Acceptances=5902366 	T=0.00991631 	E=0.0624021
Time=2	 Trials=9300100	 Acceptances=5909409 	T=0.00971025 	E=0.0490845
Time=2	 Trials=9350100	 Acceptances=5916391 	T=0.00952117 	E=0.0423792
Time=2	 Trials=9400100	 Acceptances=5922942 	T=0.00931864 	E=0.0404761
Time=2	 Trials=9450100	 Acceptances=5929317 	T=0.00910938 	E=0.00954175
Time=2	 Trials=9500100	 Acceptances=5935744 	T=0.00892045 	E=0.0382279
Time=2	 Trials=9550100	 Acceptances=5942022 	T=0.00873582 	E=0.0371211
Time=2	 Trials=9600100	 Acceptances=5948069 	T=0.00856088 	E=0.0266745
Time=2	 Trials=9650100	 Acceptances=5953963 	T=0.00841417 	E=0.0125761
Time=2	 Trials=9700100	 Acceptances=5959869 	T=0.00820902 	E=0.0242582
Time=2	 Trials=9750100	 Acceptances=5965715 	T=0.00804222 	E=0.0426504
Time=2	 Trials=9800100	 Acceptances=5971318 	T=0.00787141 	E=0.0198012
Time=2	 Trials=9850100	 Acceptances=5976622 	T=0.00769998 	E=0.0358956
Time=2	 Trials=9900100	 Acceptances=5981832 	T=0.00752652 	E=0.0141824
Time=2	 Trials=9950100	 Acceptances=5986967 	T=0.00738281 	E=0.0251523
Time=2	 Trials=10000100	 Acceptances=5991935 	T=0.00724559 	E=0.0330347
Time=2	 Trials=10050100	 Acceptances=5996799 	T=0.0071075 	E=0.0370472
Time=2	 Trials=10100100	 Acceptances=6001570 	T=0.00696595 	E=0.0529545
Time=2	 Trials=10150100	 Acceptances=6006079 	T=0.00683149 	E=0.023388
Time=2	 Trials=10200100	 Acceptances=6010465 	T=0.00667609 	E=0.0440594
Time=2	 Trials=10250100	 Acceptances=6014840 	T=0.00653763 	E=0.0414852
Time=2	 Trials=10300100	 Acceptances=6019106 	T=0.00640625 	E=0.0517875
Time=2	 Trials=10350100	 Acceptances=6023209 	T=0.00627993 	E=0.0184369
Time=2	 Trials=10400100	 Acceptances=6027224 	T=0.00615546 	E=0.0237397
Time=2	 Trials=10450100	 Acceptances=6031096 	T=0.00601253 	E=0.0173402
Time=2	 Trials=10500100	 Acceptances=6034914 	T=0.005867 	E=0.0204532
Time=3	 Trials=10550100	 Acceptances=6038583 	T=0.00574646 	E=0.0223909
Time=3	 Trials=10600100	 Acceptances=6042192 	T=0.00561769 	E=0.0147212
Time=3	 Trials=10650100	 Acceptances=6045688 	T=0.00550746 	E=0.0237004
Time=3	 Trials=10700100	 Acceptances=6048967 	T=0.00541142 	E=0.0130309
Time=3	 Trials=10750100	 Acceptances=6052452 	T=0.00530729 	E=0.0121762
Time=3	 Trials=10800100	 Acceptances=6055725 	T=0.00521389 	E=0.0181466
Time=3	 Trials=10850100	 Acceptances=6058893 	T=0.00512176 	E=0.0265905
Time=3	 Trials=10900100	 Acceptances=6061836 	T=0.00503244 	E=0.0103828
Time=3	 Trials=10950100	 Acceptances=6064891 	T=0.00493507 	E=0.0146664
Time=3	 Trials=11000100	 Acceptances=6067608 	T=0.00484875 	E=0.0140793
Time=3	 Trials=11050100	 Acceptances=6070475 	T=0.00474516 	E=0.0235716
Time=3	 Trials=11100100	 Acceptances=6073318 	T=0.00465693 	E=0.0536805
Time=3	 Trials=11150100	 Acceptances=6075882 	T=0.00457952 	E=0.0109508
Time=3	 Trials=11200100	 Acceptances=6078599 	T=0.00450138 	E=0.0112375
Time=3	 Trials=11250100	 Acceptances=6081044 	T=0.00441792 	E=0.00696753
Time=3	 Trials=11300100	 Acceptances=6083523 	T=0.00435296 	E=0.00675474
Time=3	 Trials=11350100	 Acceptances=6085959 	T=0.00427237 	E=0.0127889
Time=3	 Trials=11400100	 Acceptances=6088354 	T=0.00419313 	E=0.0252071
Time=3	 Trials=11450100	 Acceptances=6090724 	T=0.0041069 	E=0.0210266
Time=3	 Trials=11500100	 Acceptances=6092933 	T=0.00402848 	E=0.0231908
Time=3	 Trials=11550100	 Acceptances=6095168 	T=0.00396653 	E=0.0108667
Time=3	 Trials=11600100	 Acceptances=6097268 	T=0.00390373 	E=0.00954175
Time=3	 Trials=11650100	 Acceptances=6099418 	T=0.00384966 	E=0.00410662
Time=3	 Trials=11700100	 Acceptances=6101509 	T=0.00379644 	E=0.00800583
Time=3	 Trials=11750100	 Acceptances=6103508 	T=0.0037413 	E=0.007709
Time=3	 Trials=11800100	 Acceptances=6105340 	T=0.00368425 	E=0.010086
Time=3	 Trials=11850100	 Acceptances=6107307 	T=0.00362955 	E=0.00808987
Time=3	 Trials=11900100	 Acceptances=6109093 	T=0.00357002 	E=0.00886052
Time=3	 Trials=11950100	 Acceptances=6110828 	T=0.00351342 	E=0.0408176
Time=3	 Trials=12000100	 Acceptances=6112534 	T=0.0034652 	E=0.0159413
Time=3	 Trials=12050100	 Acceptances=6114236 	T=0.00340455 	E=0.00971522
Time=3	 Trials=12100100	 Acceptances=6115941 	T=0.00335688 	E=0.0134857
Time=3	 Trials=12150100	 Acceptances=6117678 	T=0.00330986 	E=0.010654
Time=3	 Trials=12200100	 Acceptances=6119344 	T=0.00325581 	E=0.0154079
Time=3	 Trials=12250100	 Acceptances=6121026 	T=0.00320039 	E=0.00677027
Time=3	 Trials=12300100	 Acceptances=6122589 	T=0.00316636 	E=0.00455125
Time=3	 Trials=12350100	 Acceptances=6124047 	T=0.00311492 	E=0.0140537
Time=3	 Trials=12400100	 Acceptances=6125386 	T=0.00306392 	E=0.01058
Time=3	 Trials=12450100	 Acceptances=6126898 	T=0.0030326 	E=0.0271585
Time=3	 Trials=12500100	 Acceptances=6128286 	T=0.00298585 	E=0.0196623
Time=3	 Trials=12550100	 Acceptances=6129728 	T=0.00294602 	E=0.00632563
Time=3	 Trials=12600100	 Acceptances=6131080 	T=0.00290439 	E=0.0186496
Time=3	 Trials=12650100	 Acceptances=6132480 	T=0.00286483 	E=0.0117763
Time=3	 Trials=12700100	 Acceptances=6133757 	T=0.00282349 	E=0.0115635
Time=3	 Trials=12750100	 Acceptances=6134954 	T=0.00279402 	E=0.0122894
Time=3	 Trials=12800100	 Acceptances=6136291 	T=0.00276335 	E=0.0144501
Time=3	 Trials=12850100	 Acceptances=6137428 	T=0.00270905 	E=0.0161439
Time=3	 Trials=12900100	 Acceptances=6138656 	T=0.00265719 	E=0.0100961
Time=3	 Trials=12950100	 Acceptances=6139841 	T=0.002627 	E=0.0139405
Time=3	 Trials=13000100	 Acceptances=6140989 	T=0.00259029 	E=0.0185656
Time=3	 Trials=13050100	 Acceptances=6142180 	T=0.00255232 	E=0.00969617
Time=3	 Trials=13100100	 Acceptances=6143309 	T=0.00253311 	E=0.00577129
Time=3	 Trials=13150100	 Acceptances=6144450 	T=0.0024815 	E=0.00787708
Time=3	 Trials=13200100	 Acceptances=6145558 	T=0.00244548 	E=0.0193464
Time=3	 Trials=13250100	 Acceptances=6146519 	T=0.00241907 	E=0.00478432
Time=3	 Trials=13300100	 Acceptances=6147669 	T=0.00238441 	E=0.0122603
Time=3	 Trials=13350100	 Acceptances=6148656 	T=0.00235369 	E=0.0124439
Time=3	 Trials=13400100	 Acceptances=6149622 	T=0.00231646 	E=0.0163019
Time=3	 Trials=13450100	 Acceptances=6150657 	T=0.00229868 	E=0.00418052
Time=3	 Trials=13500100	 Acceptances=6151580 	T=0.00228182 	E=0.00282633
Time=3	 Trials=13550100	 Acceptances=6152472 	T=0.00223561 	E=0.0041358
Time=3	 Trials=13600100	 Acceptances=6153376 	T=0.00220735 	E=0.00577129
Time=3	 Trials=13650100	 Acceptances=6154247 	T=0.00218263 	E=0.00926044
Time=3	 Trials=13700100	 Acceptances=6155078 	T=0.00215519 	E=0.00318154
Time=3	 Trials=13750100	 Acceptances=6155898 	T=0.00213255 	E=0.00753553
Time=3	 Trials=13800100	 Acceptances=6156750 	T=0.00209858 	E=0.0108376
Time=3	 Trials=13850100	 Acceptances=6157516 	T=0.00208255 	E=0.00669636
Time=3	 Trials=13900100	 Acceptances=6158291 	T=0.00205631 	E=0.0145084
Time=3	 Trials=13950100	 Acceptances=6159098 	T=0.00203013 	E=0.00520329
Time=3	 Trials=14000100	 Acceptances=6159843 	T=0.00201435 	E=0.00789073
Time=3	 Trials=14050100	 Acceptances=6160577 	T=0.00198788 	E=0.00696753
Time=3	 Trials=14100100	 Acceptances=6161356 	T=0.00197013 	E=0.0111087
Time=3	 Trials=14150100	 Acceptances=6162019 	T=0.0019465 	E=0.0107827
Time=3	 Trials=14200100	 Acceptances=6162696 	T=0.00192983 	E=0.00629644
Time=3	 Trials=14250100	 Acceptances=6163368 	T=0.00191142 	E=0.00455125
Time=3	 Trials=14300100	 Acceptances=6164095 	T=0.00189936 	E=0.00702238
Time=3	 Trials=14350100	 Acceptances=6164753 	T=0.00189002 	E=0.00544527
Time=3	 Trials=14400100	 Acceptances=6165394 	T=0.00186777 	E=0.00402258
Time=3	 Trials=14450100	 Acceptances=6166015 	T=0.00185351 	E=0.00618674
Time=3	 Trials=14500100	 Acceptances=6166732 	T=0.0018346 	E=0.00515857
Time=3	 Trials=14550100	 Acceptances=6167402 	T=0.00181976 	E=0.0103089
Time=3	 Trials=14600100	 Acceptances=6168090 	T=0.00180542 	E=0.0120183
Time=3	 Trials=14650100	 Acceptances=6168693 	T=0.00178947 	E=0.00463529
Time=3	 Trials=14700100	 Acceptances=6169343 	T=0.00176874 	E=0.00982844
Time=3	 Trials=14750100	 Acceptances=6169946 	T=0.00175138 	E=0.00193232
Time=3	 Trials=14800100	 Acceptances=6170616 	T=0.00173583 	E=0.0106248
Time=3	 Trials=14850100	 Acceptances=6171282 	T=0.00172389 	E=0.0123342
Time=3	 Trials=14900100	 Acceptances=6171839 	T=0.00171326 	E=0.00958646
Time=3	 Trials=14950100	 Acceptances=6172392 	T=0.00169245 	E=0.012873
Time=3	 Trials=15000100	 Acceptances=6172907 	T=0.00167727 	E=0.0100806
Time=3	 Trials=15050100	 Acceptances=6173515 	T=0.00165911 	E=0.00927058
Time=3	 Trials=15100100	 Acceptances=6174036 	T=0.00164616 	E=0.00779304
Time=3	 Trials=15150100	 Acceptances=6174563 	T=0.00163774 	E=0.00204554
Time=3	 Trials=15200100	 Acceptances=6175162 	T=0.00161669 	E=0.00664151
Time=3	 Trials=15250100	 Acceptances=6175720 	T=0.0016053 	E=0.0119444
Time=3	 Trials=15300100	 Acceptances=6176211 	T=0.0015876 	E=0.00467461
Time=3	 Trials=15350100	 Acceptances=6176763 	T=0.0015764 	E=0.00861854
Time=3	 Trials=15400100	 Acceptances=6177310 	T=0.00156413 	E=0.00857383
Time=3	 Trials=15450100	 Acceptances=6177771 	T=0.00155081 	E=0.0113799
Time=3	 Trials=15500100	 Acceptances=6178253 	T=0.00153791 	E=0.00471933
Time=3	 Trials=15550100	 Acceptances=6178720 	T=0.00151862 	E=0.006384
Time=3	 Trials=15600100	 Acceptances=6179229 	T=0.001507 	E=0.00547093
Time=3	 Trials=15650100	 Acceptances=6179700 	T=0.00150381 	E=0.00648357
Time=3	 Trials=15700100	 Acceptances=6180104 	T=0.00150122 	E=0.0051741
Time=3	 Trials=15750100	 Acceptances=6180523 	T=0.00149203 	E=0.00720951
Time=3	 Trials=15800100	 Acceptances=6180991 	T=0.00148607 	E=0.0146664
Time=3	 Trials=15850100	 Acceptances=6181433 	T=0.00147731 	E=0.00500063
Time=3	 Trials=15900100	 Acceptances=6181873 	T=0.00146074 	E=0.00689363
Time=3	 Trials=15950100	 Acceptances=6182270 	T=0.00144819 	E=0.0069932
Time=3	 Trials=16000100	 Acceptances=6182717 	T=0.00143812 	E=0.00285552
Time=3	 Trials=16050100	 Acceptances=6183120 	T=0.00142911 	E=0.00434859
Time=4	 Trials=16100100	 Acceptances=6183609 	T=0.00141389 	E=0.00587086
Time=4	 Trials=16150100	 Acceptances=6184039 	T=0.00140231 	E=0.00562888
